gene_name,dN,dS,omega
SCO0813,0.0044,0,NA
SCO0817,0,0,0
SCO0824,0.0033,0,NA
SCO0826,0,0,0
SCO0828,0.004,0.0015,2.71129
SCO0832,0.0012,0.0101,0.11594
SCO0833,0.0036,0.0338,0.10733
SCO0835,0,0.0429,0
SCO0842,0.0053,0.0072,0.73586
SCO0868,0.0028,0.0383,0.0719
SCO0878,0.0073,0,NA
SCO0899,0.0044,0,NA
SCO0907,0.0025,0.0376,0.0663
SCO0908,0.0031,0,NA
SCO0909,0,0.0213,0
SCO0911,0.0143,0.0021,6.82368
SCO0913,0.0073,0,NA
SCO0917,0.0083,0.0034,2.44766
SCO0921,0,0.0384,0
SCO0924,0,0,0
SCO0928,0.001,0.0288,0.03624
SCO0930,0.0011,0.0332,0.03396
SCO0933,0,0,0
SCO0936,0.0039,0.025,0.15552
SCO0946,0.0021,0.2427,0.00869
SCO0947,0.0045,0.0002,25.1284
SCO0950,0.0024,0.0603,0.03925
SCO0952,0,0.0001,0
SCO0957,0,0.0239,0
SCO0962,0.001,0,NA
SCO0968,0,0,0
SCO0975,0.0055,0.002,2.74874
SCO1005,1.0925,1.2886,0.84781
SCO1010,0.0108,0.0082,1.31428
SCO1023,0.0044,0,NA
SCO1026,0.0068,0.0044,1.56031
SCO1056,0.0014,0.0018,0.80536
SCO1057,0.0088,0.0027,3.27483
SCO1058,0.0078,0,NA
SCO1061,0.0019,0.065,0.02888
SCO1066,0.0028,0,NA
SCO1069,0,0.0316,0
SCO1075,0.0011,0.0551,0.01966
SCO1076,0,0.0001,0
SCO1079,0.0016,0,NA
SCO1080,0.0016,0,NA
SCO1092,0.0066,0,NA
SCO1112,0.0046,0.0067,0.67979
SCO1129,0.0058,0.0087,0.66752
SCO1135,0.0109,0,NA
SCO1141,0,0.0913,0
SCO1146,0.0015,0.0221,0.06836
SCO1154,0.0066,0.0569,0.11597
SCO1162,0.0067,0.014,0.47831
SCO1165,0.0044,0,NA
SCO1167,0.0026,0.0041,0.64579
SCO1174,0.0067,0.0032,2.08023
SCO1178,0.0032,0.0486,0.06509
SCO1183,0.0023,0,NA
SCO1184,0.00555,0.01765,0.459235
SCO1197,0.0011,0.0163,0.06905
SCO1199,0,0.0273,0
SCO1200,0.0022,0.0097,0.22224
SCO1204,0.0022,0.0021,1.07912
SCO1215,0,0,0
SCO1216,0,0,0
SCO1233,0.0054,0.0363,0.15002
SCO1239,0,0,0
SCO1248,0.003,0.0872,0.03457
SCO1251,0.0051,0.0072,0.71282
SCO1256,0.0025,0.048,0.05294
SCO1261,0.0011,0,NA
SCO1280,0.0018,0.0134,0.1375
SCO1301,0,0.0244,0
SCO1303,0.00525,0.01485,0.33945
SCO1304,0.0068,0,NA
SCO1305,0.0019,0.0178,0.10679
SCO1311,0.0041,0,NA
SCO1321,0,0.0825,0
SCO1324,0.0019,0.023,0.08055
SCO1325,0.0125,0.0067,1.85419
SCO1327,0.0025,0.0061,0.41444
SCO1362,0.0033,0.0412,0.07985
SCO1372,0.0014,0.0554,0.02456
SCO1381,0,0.0777,0
SCO1384,0,0.0171,0
SCO1387,0,0.0277,0
SCO1394,0.0046,0.0062,0.73963
SCO1404,0.0033,0.0233,0.13987
SCO1413,0,0.024,0
SCO1419,0,0,0
SCO1428,0.0041,0.0064,0.64873
SCO1429,0.0027,0,NA
SCO1433,0.0088,0.0086,1.01476
SCO1434,0.0083,0.0016,5.23905
SCO1438,0,0.0193,0
SCO1453,0.0014,0,NA
SCO1459,0.0007,0.0377,0.01904
SCO1468,0.0024,0.0203,0.11998
SCO1491,0,0.0174,0
SCO1493,0.003,0,NA
SCO1494,0.001,0.0097,0.10535
SCO1525,0.0009,0,NA
SCO1529,0.0051,0.0015,3.3172
SCO1539,0.0009,0.0305,0.02866
SCO1541,0,0,0
SCO1542,0.0026,0.0059,0.44296
SCO1543,0,0.0379,0
SCO1550,0,0,0
SCO1556,0.0017,0.0242,0.07025
SCO1570,0.0008,0.0503,0.0151
SCO1581,0.0054,0,NA
SCO1582,0.0021,0.05,0.04269
SCO1583,0.0004,0.0247,0.01769
SCO1584,0.0036,0,NA
SCO1585,0.0022,0,NA
SCO1586,0.0025,0.0264,0.09616
SCO1598,0,0,0
SCO1599,0,0,0
SCO1600,0,0,0
SCO1601,0.0047,0,NA
SCO1609,0.0063,0.0078,0.80003
SCO1610,0.0023,0.0124,0.18259
SCO1611,0,0.0784,0
SCO1620,0.0013,0.0592,0.02151
SCO1621,0,0.0134,0
SCO1625,0.0072,0,NA
SCO1626,0,0.0248,0
SCO1628,0,0,0
SCO1629,0,0,0
SCO1637,0,0.0184,0
SCO1638,0,0,0
SCO1654,0.0042,0,NA
SCO1676,0,0,0
SCO1677,0.0143,0.0126,1.13837
SCO1678,0.0016,0.0554,0.02842
SCO1679,0,0,0
SCO1681,0,0.0067,0
SCO1694,0.0012,0.0459,0.02583
SCO1717,0.0012,0,NA
SCO1724,0.0052,0.0079,0.66395
SCO1725,0,0.0622,0
SCO1744,0.0024,0.0095,0.25197
SCO1745,0,0,0
SCO1746,0,0.0089,0
SCO1751,0.0007,0.0186,0.03872
SCO1757,0,0,0
SCO1759,0,0,0
SCO1775,0,0.0339,0
SCO1783,0,0,0
SCO1805,0,0,0
SCO1807,0.0099,0,NA
SCO1825,0,0.0109,0
SCO1866,0.0034,0,NA
SCO1873,0.0062,0,NA
SCO1882,0,0.0201,0
SCO1890,0,0.0181,0
SCO1895,0,0.0266,0
SCO1908,0,0,0
SCO1915,0.0198,0.0077,2.57777
SCO1921,0,0.0185,0
SCO1941,0.0109,0.0226,0.48449
SCO1942,0.00163333333333333,0.105766666666667,0.0303866666666667
SCO1943,0,0.0333,0
SCO1944,0,0.0787,0
SCO1950,0,0.0204,0
SCO1955,0,0.011,0
SCO1973,0,0,0
SCO1977,0.001,0.006,0.16806
SCO1980,0,0,0
SCO1981,0.0038,0,NA
SCO1982,0,0,0
SCO1983,0,0.0287,0
SCO1993,0.0051,0.0353,0.14387
SCO1999,0,0,0
SCO2001,0.0006,0,NA
SCO2008,0.0015,0,NA
SCO2016,0,0.0601,0
SCO2027,0,0,0
SCO2035,0,0,0
SCO2040,0.0025,0,NA
SCO2043,0.0014,0.0666,0.02109
SCO2064,0,0.0027,0
SCO2065,0,0,0
SCO2066,0.0304,0.0202,1.50312
SCO2078,0,0,0
SCO2087,0,0.0056,0
SCO2093,0.0025,0,NA
SCO2094,0.0032,0,NA
SCO2102,0,0.2166,0
SCO2104,0,0.0557,0
SCO2105,0,0.024,0
SCO2111,0,0,0
SCO2114,0,0,0
SCO2137,0.0008,0.0117,0.06859
SCO2143,0.0019,0,NA
SCO2158,0,0,0
SCO2159,0.0078,0,NA
SCO2161,0,0.0271,0
SCO2164,0,0.0122,0
SCO2166,0,0,0
SCO2182,0,0,0
SCO2183,0.003,0,NA
SCO2188,0,0.0029,0
SCO2189,0,0.0268,0
SCO2190,0.0153,0,NA
SCO2200,0,0.0349,0
SCO2202,0.0056,0,NA
SCO2222,0.0056,0.0027,2.07865
SCO2223,0.0023,0,NA
SCO2229,0,0,0
SCO2230,0,0.0084,0
SCO2240,0.0033,0,NA
SCO2256,0.0059,0,NA
SCO2268,0.0019,0.0435,0.04259
SCO2276,0.0012,0.0024,0.4857
SCO2296,0.0044,0,NA
SCO2297,0.0058,0,NA
SCO2302,0.00195,0,NA
SCO2303,0,0,0
SCO2304,0.0013,0.0781,0.01618
SCO2306,0.0066,0.004,1.63882
SCO2307,0.0043,0.0024,1.78689
SCO2308,0.0063,0.0068,0.92529
SCO2312,0.0022,0,NA
SCO2320,0,0.0075,0
SCO2329,0.0057,0.0655,0.08723
SCO2339,0,0.0147,0
SCO2347,0.0019,0.053,0.03628
SCO2348,0,0,0
SCO2355,0,0,0
SCO2357,0.0071,0,NA
SCO2358,0,0.0159,0
SCO2359,0,0,0
SCO2372,0,0,0
SCO2373,0,0.0124,0
SCO2378,0,0.0359,0
SCO2387,0.0117,0.0039,3.02664
SCO2391,0,0.0444,0
SCO2393,0.0077,0.0032,2.39474
SCO2394,0.0038,0.0023,1.68802
SCO2395,0.0015,0.0099,0.14723
SCO2400,0.0302,0.0303,0.9955
SCO2417,0.0031,0.0691,0.04432
SCO2419,0,0.0248,0
SCO2423,0.0174,0.0179,0.97063
SCO2425,0.0021,0.0022,0.92974
SCO2428,0.0051,0,NA
SCO2441,0.0026,0,NA
SCO2458,0,0,0
SCO2461,0,0,0
SCO2462,0.003,0,NA
SCO2463,0.0035,0.0017,2.09466
SCO2465,0,0.0164,0
SCO2469,0,0.0479,0
SCO2470,0.0027,0.0139,0.19793
SCO2485,0.0027,0.0355,0.07691
SCO2487,0.0025,0.001,2.40719
SCO2488,0.004,0,NA
SCO2493,0.001,0.0295,0.03318
SCO2495,0.0034,0.0035,0.9761
SCO2502,0.0119,0.0025,4.74855
SCO2504,0,0.043,0
SCO2512,0,0,0
SCO2513,0.0089,0.0043,2.08159
SCO2514,0.0062,0,NA
SCO2540,0,0.0481,0
SCO2542,0.0008,0.0474,0.01769
SCO2556,0.0017,0.0066,0.2558
SCO2565,0,0,0
SCO2578,0,0.0554,0
SCO2580,0,0,0
SCO2599,0.0159,0,NA
SCO2600,0,0,0
SCO2601,0.0117,0.1098,0.10627
SCO2611,0,0.0131,0
SCO2621,0,0,0
SCO2622,0.0051,0.0027,1.88575
SCO2623,0.007,0.0714,0.09851
SCO2624,0,0.0374,0
SCO2626,0.0013,0.0422,0.03007
SCO2627,0,0.0362,0
SCO2634,0,0.0871,0
SCO2680,0.0144,0,NA
SCO2696,0.0072,0.0034,2.10622
SCO2707,0.0048,0.0076,0.6283
SCO2718,0,0,0
SCO2727,0,0.0097,0
SCO2728,0,0,0
SCO2729,0.0074,0.0104,0.7126
SCO2730,0.0067,0,NA
SCO2735,0.0032,0.0059,0.54124
SCO2737,0.0005,0.0371,0.01367
SCO2738,0,0,0
SCO2739,0,0,0
SCO2754,0,0,0
SCO2760,0.0112,0.007,1.59311
SCO2761,0.0007,0.0327,0.02224
SCO2762,0,0.0969,0
SCO2773,0.0075,0.2874,0.02617
SCO2785,0.0118,0,NA
SCO2786,0.0021,0.0364,0.05667
SCO2794,0,0.0113,0
SCO2796,0.0015,0.0028,0.54224
SCO2802,0.0091,0,NA
SCO2805,0.0072,0.0023,3.18583
SCO2810,0.0021,0,NA
SCO2816,0.004,0,NA
SCO2836,0.0023,0.0016,1.42298
SCO2838,0.0043,0.1614,0.02664
SCO2860,0.0056,0.0437,0.12735
SCO2872,0.0011,0,NA
SCO2883,0.0014,0,NA
SCO2884,0.0013,0,NA
SCO2885,0.0023,0.0298,0.07695
SCO2886,0.0051,0.0555,0.09242
SCO2887,0,0,0
SCO2888,0,0.0217,0
SCO2889,0.0015,0.06,0.02483
SCO2898,0,0.0691,0
SCO2904,0,0,0
SCO2907,0.0014,0,NA
SCO2914,0,0.0259,0
SCO2915,0,0.0842,0
SCO2916,0,0,0
SCO2917,0,0.002,0
SCO2920,0.0009,0.0619,0.01443
SCO2928,0.0026,0,NA
SCO2940,0.0005,0.0737,0.00626
SCO2941,0.0034,0.0288,0.11667
SCO2944,0.0014,0.0151,0.09432
SCO2946,0,0.084,0
SCO2947,0,0,0
SCO2952,0,0.039,0
SCO2960,0.0035,0.0328,0.10732
SCO2988,0.0017,0,NA
SCO2989,0,0,0
SCO2993,0.006,0,NA
SCO2995,0.0019,0,NA
SCO3005,0,0.0504,0
SCO3006,0.0029,0.0043,0.67868
SCO3008,0,0.0096,0
SCO3021,0.0058,0,NA
SCO3022,0,0.0322,0
SCO3024,0.0012,0.0439,0.02748
SCO3038,0.0029,0,NA
SCO3061,0.0037,0,NA
SCO3067,0,0,0
SCO3078,0,0,0
SCO3081,0,0.0335,0
SCO3090,0.0017,0.0013,1.33905
SCO3098,0.0028,0,NA
SCO3101,0,0,0
SCO3106,0.002,0.005,0.40423
SCO3108,0,0,0
SCO3123,0,0,0
SCO3127,0,0.0562,0
SCO3128,0.0082,0,NA
SCO3130,0.0012,0.0029,0.40892
SCO3138,0,0.0145,0
SCO3139,0.0046,0,NA
SCO3140,0,0,0
SCO3144,0,0.0374,0
SCO3145,0.0014,0.044,0.03174
SCO3146,0,0.0239,0
SCO3155,0,0,0
SCO3160,0,0,0
SCO3175,0.0058,0,NA
SCO3184,0.0032,0.1589,0.01984
SCO3188,0.0071,0,NA
SCO3189,0.0077,0.0101,0.76605
SCO3190,0.0121,0,NA
SCO3191,0,0.0002,0
SCO3196,0.0021,0.0382,0.05556
SCO3197,0.0012,0.0293,0.04085
SCO3198,0,0.0265,0
SCO3199,0,0.0622,0
SCO3207,0,0,0
SCO3210,0.0031,0.0492,0.0631
SCO3213,0,0,0
SCO3214,0.0015,0.0264,0.05766
SCO3215,0,0.0777,0
SCO3217,0.0045,0.0019,2.38427
SCO3218,0,0,0
SCO3224,0,0.0348,0
SCO3232,0.0026,0,NA
SCO3233,0,0.0054,0
SCO3245,0,0.0543,0
SCO3246,0,0.0796,0
SCO3249,0,0,0
SCO3273,0,0,0
SCO3274,0,0.0057,0
SCO3275,0.0075,0,NA
SCO3284,0.0027,0.0034,0.79543
SCO3296,0,0.0265,0
SCO3299,0.0028,0.0272,0.10324
SCO3303,0,0.0461,0
SCO3310,0.0075,0,NA
SCO3311,0.0012,0,NA
SCO3321,0,0.0153,0
SCO3340,0.0014,0.048,0.02927
SCO3342,0.005,0.0283,0.17696
SCO3347,0,0.0479,0
SCO3349,0,0,0
SCO3357,0.0022,0,NA
SCO3366,0,0.0516,0
SCO3372,0.0065,0.0036,1.80236
SCO3373,0,0.0277,0
SCO3374,0.0041,0.0046,0.9048
SCO3375,0,0.0205,0
SCO3385,0.0015,0.0066,0.22365
SCO3386,0,0,0
SCO3387,0,0.0025,0
SCO3388,0,0,0
SCO3389,0,0,0
SCO3390,0,0.0158,0
SCO3391,0.0026,0.0037,0.70923
SCO3392,0,0.0142,0
SCO3393,0,0,0
SCO3394,0.00205,0.0014,0.738345
SCO3395,0.0031,0.0111,0.27415
SCO3396,0,0,0
SCO3404,0,0.0639,0
SCO3405,0,0,0
SCO3406,0,0.032,0
SCO3407,0,0.026,0
SCO3408,0.0016,0.018,0.09118
SCO3409,0,0,0
SCO3410,0.0046,0.0016,2.86878
SCO3411,0.0012,0.0682,0.01733
SCO3412,0,0,0
SCO3413,0,0.0229,0
SCO3414,0,0.0423,0
SCO3418,0.0024,0.0112,0.21274
SCO3428,0,0,0
SCO3509,0.0224,0.2394,0.09365
SCO3510,0.0477,0.0066,7.20023
SCO3516,0.0159,0.2129,0.07482
SCO3517,0.0057,0.2087,0.0274
SCO3528,0.0339,0.2008,0.16862
SCO3530,0.02,0.2662,0.07525
SCO3531,0.0422,0.3319,0.12724
SCO3532,0.0563,0.3119,0.18045
SCO3542,0.0137,0.0491,0.2786
SCO3547,0.0009,0.0288,0.03228
SCO3556,0.0019,0.0133,0.14144
SCO3569,0.0014,0.0408,0.03391
SCO3574,0,0.0161,0
SCO3590,0,0.0735,0
SCO3597,0,0,0
SCO3599,0.0036,0.0807,0.04413
SCO3605,0,0,0
SCO3606,0.0028,0,NA
SCO3611,0.0055,0.0035,1.59333
SCO3629,0,0.0386,0
SCO3631,0,0.0072,0
SCO3632,0,0,0
SCO3638,0,0,0
SCO3649,0.0021,0,NA
SCO3651,0.0013,0.0656,0.02044
SCO3652,0.0197,0.053,0.37116
SCO3655,0.0013,0,NA
SCO3659,0,0.0198,0
SCO3670,0,0,0
SCO3674,0.0045,0,NA
SCO3675,0.0028,0.002,1.39935
SCO3681,0.0027,0,NA
SCO3682,0,0.0025,0
SCO3683,0.0099,0.065,0.15171
SCO3684,0,0,0
SCO3687,0.0092,0.0104,0.88715
SCO3688,0.003,0,NA
SCO3697,0.0051,0.0117,0.43701
SCO3699,0,0.0786,0
SCO3700,0,0.0059,0
SCO3702,0.0021,0.006,0.35043
SCO3726,0,0,0
SCO3730,0.0034,0.0039,0.86789
SCO3734,0,0,0
SCO3737,0.0023,0,NA
SCO3757,0.0033,0.0166,0.20069
SCO3758,0.0011,0.0168,0.06468
SCO3765,0,0.0596,0
SCO3768,0,0,0
SCO3772,0.0015,0.0261,0.05629
SCO3776,0,0,0
SCO3789,0.0069,0.0035,1.95172
SCO3791,0.0028,0,NA
SCO3796,0.0049,0,NA
SCO3798,0,0.0612,0
SCO3800,0.0036,0,NA
SCO3801,0.0035,0,NA
SCO3802,0,0,0
SCO3804,0.0044,0,NA
SCO3810,0,0,0
SCO3814,0.0046,0.0098,0.46699
SCO3817,0,0.0604,0
SCO3818,0.0066,0.005,1.32251
SCO3819,0,0,0
SCO3822,0,0.0486,0
SCO3823,0,0.1025,0
SCO3836,0.0029,0.1089,0.02668
SCO3842,0.0017,0,NA
SCO3849,0,0.0391,0
SCO3850,0.0031,0.0119,0.26375
SCO3861,0.0017,0,NA
SCO3866,0.0054,0.0161,0.33713
SCO3876,0.001,0.0434,0.02253
SCO3900,0,0,0
SCO3904,0.0036,0.0058,0.62598
SCO3909,0.0073,0,NA
SCO3910,0.0009,0.0162,0.05656
SCO3913,0.0028,0,NA
SCO3915,0.0066,0,NA
SCO3916,0.0112,0,NA
SCO3917,0.0026,0.0317,0.08251
SCO3923,0.0052,0.0081,0.65157
SCO3941,0.0011,0.0416,0.02659
SCO3946,0.0059,0.0063,0.92899
SCO3948,0.0074,0,NA
SCO3949,0.0057,0.006,0.94969
SCO3954,0.0006,0.0467,0.0131
SCO3957,0,0,0
SCO3961,0,0.0432,0
SCO3963,0.0011,0.0261,0.04183
SCO3964,0.0032,0.0193,0.1661
SCO3965,0.0021,0,NA
SCO3972,0,0.004,0
SCO3977,0.0048,0.0019,2.46485
SCO4005,0.0133,0,NA
SCO4009,0.0073,0.0069,1.026745
SCO4017,0.0016,0.0391,0.04037
SCO4019,0,0.0042,0
SCO4032,0,0,0
SCO4041,0.0026,0,NA
SCO4051,0,0,0
SCO4052,0,0,0
SCO4054,0.0069,0.0086,0.79355
SCO4076,0,0.0331,0
SCO4078,0.0072,0,NA
SCO4088,0,0,0
SCO4089,0.001,0.0512,0.01971
SCO4096,0.0036,0,NA
SCO4106,0.0037,0,NA
SCO4108,0.0015,0.0026,0.59319
SCO4112,0,0,0
SCO4114,0,0.0197,0
SCO4115,0.0033,0.0035,0.93007
SCO4129,0,0.0184,0
SCO4136,0.0054,0.0477,0.11337
SCO4145,0.0005,0.0681,0.00703
SCO4147,0.0015,0,NA
SCO4168,0.0102,0,NA
SCO4169,0.004,0.0038,1.07067
SCO4173,0,0,0
SCO4174,0.0102,0,NA
SCO4175,0,0,0
SCO4176,0,0,0
SCO4177,0,0,0
SCO4179,0.0033,0,NA
SCO4180,0.0105,0,NA
SCO4181,0.0077,0,NA
SCO4182,0.0054,0.1163,0.04639
SCO4184,0.0022,0,NA
SCO4185,0.0029,0,NA
SCO4196,0.0009,0.0417,0.02165
SCO4225,0.0054,0,NA
SCO4238,0,0.0272,0
SCO4245,0,0.0206,0
SCO4261,0,0,0
SCO4262,0.0045,0,NA
SCO4265,0.0015,0.0071,0.20844
SCO4267,0,0,0
SCO4275,0.0011,0.0086,0.12549
SCO4278,0.0114,0,NA
SCO4282,0.0063,0.0122,0.51593
SCO4285,0,0.0168,0
SCO4296,0.0022,0,NA
SCO4297,0.0015,0,NA
SCO4308,0,0,0
SCO4309,0,0,0
SCO4310,0,0,0
SCO4311,0,0.0175,0
SCO4315,0.0092,0,NA
SCO4325,0,0,0
SCO4332,0.0005,0.0131,0.0366
SCO4335,0,0,0
SCO4336,0,0,0
SCO4354,0.222,112.2473,0.00198
SCO4357,0,0,0
SCO4369,0,0,0
SCO4373,0.0025,0,NA
SCO4374,0.0028,0,NA
SCO4381,0.0063,0.0036,1.72228
SCO4383,0.001,0.0055,0.18087
SCO4390,0.0028,0,NA
SCO4393,0,0.0084,0
SCO4394,0.0023,0,NA
SCO4415,0.0102,0.0071,1.43994
SCO4438,0.0006,0.0273,0.02185
SCO4440,0,0.0044,0
SCO4449,0.0024,0.1167,0.02089
SCO4458,0.0044,0.0339,0.12889
SCO4476,0.0008,0.0287,0.02825
SCO4477,0.0016,0.0384,0.04241
SCO4495,0.0043,0,NA
SCO4508,0.002,0.0475,0.0418
SCO4523,0.0099,0.0056,1.76196
SCO4525,0.0017,0,NA
SCO4531,0.0084,0,NA
SCO4539,0.0154,0.3704,0.04152
SCO4555,0.0081,0,NA
SCO4557,0.0036,0,NA
SCO4558,0,0,0
SCO4559,0,0,0
SCO4572,0,0,0
SCO4575,0.0053,0,NA
SCO4576,0.0019,0.0268,0.07246
SCO4577,0.0032,0,NA
SCO4582,0,0.0176,0
SCO4588,0.0042,0.0043,0.99297
SCO4592,0.0022,0.0245,0.09098
SCO4605,0.0171,0,NA
SCO4607,0.0009,0.0057,0.16657
SCO4608,0.0086,0.0016,5.25181
SCO4641,0.0067,0,NA
SCO4645,0.0009,0.0328,0.02717
SCO4647,0,0,0
SCO4649,0.0042,0,NA
SCO4681,0.0022,0,NA
SCO4684,0,0,0
SCO4688,0,0.0329,0
SCO4690,0.0148,0,NA
SCO4696,0,0,0
SCO4697,0.0015,0,NA
SCO4707,0,0,0
SCO4708,0,0,0
SCO4709,0,0,0
SCO4710,0,0,0
SCO4711,0,0,0
SCO4712,0,0,0
SCO4713,0,0,0
SCO4714,0,0,0
SCO4715,0,0,0
SCO4716,0,0,0
SCO4717,0,0,0
SCO4718,0,0,0
SCO4719,0.0023,0,NA
SCO4720,0,0,0
SCO4721,0,0,0
SCO4722,0.0015,0,NA
SCO4723,0.0173,0.0128,1.35293
SCO4727,0.0042,0,NA
SCO4730,0,0,0
SCO4731,0.0016,0,NA
SCO4732,0,0.0001,0
SCO4733,0.0201,0.0128,1.57144
SCO4734,0,0,0
SCO4752,0.0052,0,NA
SCO4759,0.0092,0.0031,2.96887
SCO4780,0.0041,0,NA
SCO4788,0,0.0026,0
SCO4794,0,0,0
SCO4803,0.0053,0.0055,0.95251
SCO4806,0.0121,0.0036,3.33869
SCO4833,0,0,0
SCO4838,0.0033,0,NA
SCO4840,0.0082,0.0048,1.72937
SCO4842,0,0.0627,0
SCO4848,0,0,0
SCO4852,0,0,0
SCO4872,0.0023,0.0587,0.03842
SCO4883,0.0046,0.0027,1.68424
SCO4886,0.0038,0.0018,2.16136
SCO4898,0,0,0
SCO4907,0,0,0
SCO4911,0.00445,0.006,0.641015
SCO4912,0.0026,0.0096,0.27184
SCO4917,0,0,0
SCO4918,0,0,0
SCO4919,0.0041,0.0022,1.82441
SCO4926,0.0041,0.3053,0.01331
SCO4937,0.0066,0.0537,0.12239
SCO4963,0.0026,0,NA
SCO4968,0.0054,0,NA
SCO4973,0.0072,0,NA
SCO4975,0.0015,0.0014,1.06147
SCO4985,0.0037,0.0033,1.09589
SCO4995,0.0082,0.0599,0.13766
SCO5003,0.0013,0.0427,0.03071
SCO5005,0.0022,0,NA
SCO5007,0.0037,0,NA
SCO5008,0.0154,0,NA
SCO5009,0.001,0,NA
SCO5010,0.009,0.0081,1.10861
SCO5011,0.0038,0.0056,0.67445
SCO5018,0.0094,0,NA
SCO5028,0.0022,0,NA
SCO5041,0.0016,0,NA
SCO5043,0.0014,0.0003,4.87324
SCO5044,0,0.0241,0
SCO5054,0,0,0
SCO5056,0.0009,0,NA
SCO5065,0.0219,0.0537,0.40812
SCO5075,0.0015,0,NA
SCO5080,0.0068,0.0026,2.60623
SCO5091,0.0031,0,NA
SCO5092,0,0,0
SCO5093,0.0022,0.0989,0.02233
SCO5095,0.0028,0,NA
SCO5097,0.0016,0.0046,0.36027
SCO5103,0,0.0115,0
SCO5109,0,0.0239,0
SCO5122,0.0011,0.0178,0.06173
SCO5130,0,0,0
SCO5141,0,0.0561,0
SCO5144,0,0,0
SCO5146,0.0023,0.0526,0.04337
SCO5147,0,0,0
SCO5152,0,0.0457,0
SCO5170,0,0.0171,0
SCO5171,0,0,0
SCO5172,0,0.0026,0
SCO5178,0,0,0
SCO5180,0.0043,0.0626,0.06865
SCO5189,0.0042,0,NA
SCO5197,0.0073,0,NA
SCO5198,0,0.0447,0
SCO5199,0,0.0198,0
SCO5200,0.0013,0,NA
SCO5201,0,0,0
SCO5218,0.0032,0.0026,1.23279
SCO5240,0,0,0
SCO5246,0.0036,0.0022,1.62682
SCO5263,0.0024,0.0069,0.34698
SCO5270,0.0043,0.0062,0.6919
SCO5282,0,0.0051,0
SCO5283,0,0,0
SCO5285,0.0045,0,NA
SCO5289,0.0026,0.0047,0.55644
SCO5296,0.0016,0,NA
SCO5299,0.0023,0.043,0.0532
SCO5301,0,0,0
SCO5302,0,0.0101,0
SCO5303,0,0,0
SCO5313,0.0295,0.0616,0.47847
SCO5314,0.0034,0.0285,0.11946
SCO5315,0,0,0
SCO5316,0,0,0
SCO5317,0.0093,0.1034,0.08988
