gene_name,dN,dS,omega,midpoint,tmp_pos
B657_RS21705,0.05355,0.40165,0.13004,4139541.25,76064.75
B657_RS21710,0.0217,0.2773,0.07838,4140808.5,74797.5
B657_RS21715,0.0168,0.33565,0.06229,4141786,73820
B657_RS21720,0.0183,0.4063,0.045,4143355.5,72250.5
B657_RS21725,0.0117,0.3119,0.03748,4144903.5,70702.5
BSBS38_RS02685,0.0102,0.2813,0.03621,522640,522640
BSBS38_RS03155,0.1355,0.5256,0.2579,602577,602577
BSBS38_RS03245,0.0156,0.2732,0.05725,615253.5,615253.5
BSBS38_RS05190,0.0556,0.4142,0.1342,993149,993149
BSBS38_RS06455,0.0208,0.2823,0.07384,1246316,1246316
BSBS38_RS15175,0.0232,0.334,0.06933,2851008,1364598
BSU17360,0.0113,0.1186,0.09556,1868259,1868259
BSU39360,0.0131,0.3506,0.03726,4044539.5,171066.5
BSU39440,0.1182,0.6529,0.18111,4054211,161395
BSU39490,0.0147,0.3225,0.04556,4059128,156478
BSU39520,0.0191,0.4154,0.04604,4061480.5,154125.5
BSU39590,0.0195,0.2517,0.07742,4066386.5,149219.5
BSU39640,0.018,0.331,0.05434,4070793,144813
BSU39690,0.0077,0.391,0.0196,4075330.5,140275.5
BSU39720,0.0261,0.2277,0.11455,4078619.5,136986.5
BSU39730,0.0132,0.2802,0.0472,4080039.5,135566.5
BSU39780,0.01,0.3334,0.02986,4086074,129532
BSU39810,0.0464,0.6356,0.07293,4088693,126913
BSU40010,0.0119,0.2958,0.0401,4109400.5,106205.5
BSU40050,0.0231,0.2562,0.09022,4113778,101828
BSU40070,0.0102,0.3165,0.0323,4116384,99222
BSU40080,0.0118,0.2658,0.04439,4117783,97823
BSU40100,0.0089,0.3209,0.0276,4120291.5,95314.5
BSU40350,0.0141,0.49815,0.028925,4146689.25,68916.75
BSU40360,0.02395,0.1868,0.252125,4148387.75,67218.25
BSU40370,0.0052,0.3574,0.01462,4149248,66358
BSU40380,0.0258,0.2378,0.10834,4150080.5,65525.5
BSU40390,0.0275,0.3041,0.09049,4151181,64425
BSU40400,0.0038,0.2875,0.01305,4152776.5,62829.5
BSU40410,0,0.1751,0,4154049.5,61556.5
BSU40420,0.0068,0.1875,0.03609,4156079,59527
BSU40430,0.0655,0.3496,0.18746,4157139,58467
BSU40440,0.002,0.2769,0.00738,4158151.5,57454.5
BSU40450,0.0613,0.3172,0.19327,4159105,56501
BSU40460,0.0721,0.5194,0.13875,4159354.5,56251.5
BSU40480,0.0377,0.2706,0.13936,4160392.5,55213.5
BSU40490,0.0682,0.3397,0.200925,4162076,53530
BSU40500,0.0064,0.2458,0.02605,4163418.5,52187.5
BSU40510,0.0042,0.2016,0.02105,4164635.5,50970.5
BSU40540,0.0285,0.2957,0.0965,4167810.5,47795.5
BSU40550,0.0091,0.2335,0.0389,4168668.5,46937.5
BSU40560,0.0425,0.3309,0.1283,4169389,46217
BSU40570,0.0088,0.3719,0.02376,4170695.5,44910.5
BSU40630,0.087,0.4921,0.17685,4177268.5,38337.5
BSU40710,0.0171,0.4546,0.03765,4183671,31935
BSU40720,0.1718,0.5716,0.30051,4184234,31372
BSU40730,0.0783,0.3771,0.20763,4184753.5,30852.5
BSU40820,0.0332,0.469,0.07077,4192229.5,23376.5
BSU40830,0.0237,0.4819,0.0492,4193716.5,21889.5
BSU40840,0.0267,0.4295,0.06214,4195065,20541
BSU40850,0.0425,0.2977,0.14279,4196055,19551
BSU40860,0.0487,0.2632,0.18513,4196540,19066
BSU40870,0.0595,0.2846,0.20917,4197259.5,18346.5
BSU40880,0.0333,0.4421,0.07544,4198159,17447
BSU40890,0,0.0537,0,4198722.5,16883.5
BSU40900,0,0.0366,0,4199145,16461
BSU40910,0.0099,0.0134,0.74218,4199588.5,16017.5
BSU40920,0.0076,0.272,0.02809,4200393,15213
BSU40930,0.0312,0.3937,0.0793,4202071.5,13534.5
BSU40939,0.0061,0.1667,0.03652,4203227,12379
BSU40940,0.0195,0.2973,0.06574,4203923,11683
BSU40950,0.0201,0.4284,0.04699,4205208.5,10397.5
BSU40960,0.0114,0.2984,0.03807,4205980,9626
BSU40970,0,0.2648,0,4206782,8824
BSU40980,0.0772,0.3018,0.25583,4207626,7980
BSU40990,0.0048,0.1592,0.03042,4208322.5,7283.5
BSU41000,0.0153,0.3464,0.04407,4209229.5,6376.5
BSU41010,0.0022,0.2435,0.00895,4210546,5060
BSU41020,0.0071,0.2535,0.0279,4212199.5,3406.5
BSU41030,0.031,0.2437,0.12709,4213510,2096
BSU41040,0.0071,0.1677,0.04264,4214200.5,1405.5
BSU41050,0.008,0.1561,0.05118,4214928,678
BSU41060,0,0.0575,0,4215322,284
BSUW23_RS01270,0.0801,0.3512,0.22819,225656,225656
BSUW23_RS01285,0.0292,0.1455,0.20041,228426.5,228426.5
BSUW23_RS01465,0.0235,0.2214,0.10604,266092,266092
BSUW23_RS01505,0.0299,0.3469,0.0863,272483.5,272483.5
BSUW23_RS01575,0.0111,0.3903,0.02832,284886.5,284886.5
BSUW23_RS01580,0,0.1505,0,285881,285881
BSUW23_RS01625,0.0461,0.2987,0.15428,294721,294721
BSUW23_RS01690,0.0429,0.4164,0.10311,307262.5,307262.5
BSUW23_RS01970,0.0211,0.384,0.05487,368404,368404
BSUW23_RS02045,0.042,0.3323,0.12625,400445.5,400445.5
BSUW23_RS02065,0.0417,0.423,0.0985,403830,403830
BSUW23_RS02155,0.0757,0.5998,0.12613,423542.5,423542.5
BSUW23_RS02255,0.0163,0.3906,0.04179,442226,442226
BSUW23_RS02300,0.0285,0.262,0.1089,449373,449373
BSUW23_RS02390,0.0277,0.333,0.08306,468172,468172
BSUW23_RS02510,0.0313,0.4074,0.07684,493968,493968
BSUW23_RS02570,0,0.1521,0,504856.5,504856.5
BSUW23_RS02630,0.0256,0.2521,0.10151,513047.5,513047.5
BSUW23_RS02715,0.0116,0.1787,0.06469,523951,523951
BSUW23_RS02920,0.0648,0.4576,0.14165,564050,564050
BSUW23_RS02950,0.0909,0.5225,0.17406,568641.5,568641.5
BSUW23_RS03060,0.0333,0.2894,0.11499,586849.5,586849.5
BSUW23_RS03110,0.0226,0.3194,0.07068,595555.5,595555.5
BSUW23_RS03140,0.0968,1.2852,0.07532,602306,602306
BSUW23_RS03185,0.031,0.3511,0.08817,610719.5,610719.5
BSUW23_RS03260,0.1024,0.3953,0.25905,623861.5,623861.5
BSUW23_RS03270,0.0077,0.2098,0.0369,625708,625708
BSUW23_RS03280,0.0225,0.4735,0.04758,626776,626776
BSUW23_RS03300,0.0401,0.4487,0.08948,629328.5,629328.5
BSUW23_RS03310,0.0483,0.4273,0.11298,633318,633318
BSUW23_RS05065,0.022,0.1348,0.1631,980042,980042
BSUW23_RS05080,0,0.0245,0,984362,984362
BSUW23_RS05085,0.0497,0.3002,0.16569,986272,986272
BSUW23_RS05110,0.1574,0.6013,0.2618,989093.5,989093.5
BSUW23_RS05210,0.0451,0.3462,0.13016,1009234.5,1009234.5
BSUW23_RS05235,0.0406,0.1597,0.25422,1013143,1013143
BSUW23_RS05250,0.0109,0.3452,0.0316,1016350,1016350
BSUW23_RS05265,0.0193,0.2754,0.07008,1019822.5,1019822.5
BSUW23_RS05385,0.0355,0.3737,0.09487,1040465.5,1040465.5
BSUW23_RS05430,0.01035,0.07665,0.131905,1050340,1050340
BSUW23_RS05450,0.0584,0.2871,0.20348,1055679.5,1055679.5
BSUW23_RS05490,0.0401,0.3472,0.11556,1061874.5,1061874.5
BSUW23_RS05520,0.08,0.4032,0.19836,1068277,1068277
BSUW23_RS05555,0.0094,0.314,0.02985,1076733.5,1076733.5
BSUW23_RS05655,0.0144,0.2906,0.04963,1095583,1095583
BSUW23_RS05675,0.0199,0.2906,0.06837,1099656.5,1099656.5
BSUW23_RS05680,0.0323,0.4005,0.08061,1103735,1103735
BSUW23_RS05715,0.0237,0.2847,0.08343,1112203.5,1112203.5
BSUW23_RS05835,0.0437,0.3702,0.11805,1135917.5,1135917.5
BSUW23_RS05920,0.0205,0.1914,0.10709,1149629.5,1149629.5
BSUW23_RS06010,0.0834,0.1848,0.45121,1165703.5,1165703.5
BSUW23_RS06065,0.13925,0.58565,0.23653,1178224.5,1178224.5
BSUW23_RS06070,0.0159,0.3852,0.04117,1179676,1179676
BSUW23_RS06075,0.0222,0.3948,0.05627,1181154.5,1181154.5
BSUW23_RS06140,0.0193,0.4649,0.04143,1192406.5,1192406.5
BSUW23_RS06180,0.0189,0.3013,0.06272,1198680.5,1198680.5
BSUW23_RS06220,0.0655,0.2623,0.2497,1206259.5,1206259.5
BSUW23_RS06375,0.0658,0.3514,0.18717,1230475.5,1230475.5
BSUW23_RS06420,0.0043,0.3012,0.01413,1237323.5,1237323.5
BSUW23_RS06430,0.052,0.3468,0.14985,1238948.5,1238948.5
BSUW23_RS06435,0.0376,0.2474,0.1519,1239754,1239754
BSUW23_RS06465,0.0351,0.383766666666667,0.0867233333333333,1244389.5,1244389.5
BSUW23_RS06490,0.0356,0.4432,0.08043,1249671,1249671
BSUW23_RS06535,0.0162,0.2772,0.05846,1256236,1256236
BSUW23_RS06545,0.0199,0.4057,0.04911,1260195,1260195
BSUW23_RS06635,0.0627,0.5324,0.11769,1277259.5,1277259.5
BSUW23_RS06740,0.0718,0.3971,0.18077,1290814,1290814
BSUW23_RS06775,0,0.2026,0,1298823,1298823
BSUW23_RS06945,0.0443,0.2293,0.19326,1331070,1331070
BSUW23_RS06970,0.0731,3.4346,0.02127,1334562,1334562
BSUW23_RS07030,0.0879,0.2786,0.31546,1345713,1345713
BSUW23_RS07125,0.0084,0.2989,0.02804,1360813,1360813
BSUW23_RS07155,0.0172,0.3568,0.04822,1369338.5,1369338.5
BSUW23_RS07175,0.0346,0.3082,0.11215,1373172.5,1373172.5
BSUW23_RS07190,0.0765,0.3272,0.23385,1375517.5,1375517.5
BSUW23_RS07255,0.0646,0.396,0.16313,1389227,1389227
BSUW23_RS07280,0.0232,0.537,0.04317,1391497,1391497
BSUW23_RS07300,0.0598,0.5252,0.11393,1395083,1395083
BSUW23_RS07305,0.0149,0.4077,0.03649,1396690.5,1396690.5
BSUW23_RS07375,0.0425,0.4329,0.09814,1408453.5,1408453.5
BSUW23_RS07410,0.0174,0.2757,0.06322,1415445,1415445
BSUW23_RS07415,0.015,0.4129,0.03627,1416741.5,1416741.5
BSUW23_RS07435,0.0109,0.3146,0.03476,1420318,1420318
BSUW23_RS07440,0.051,0.4306,0.11842,1421677.5,1421677.5
BSUW23_RS07455,0.0244,0.3167,0.07699,1426237.5,1426237.5
BSUW23_RS07500,0.0074,0.2428,0.03041,1434854,1434854
BSUW23_RS07585,0.0077,0.0644,0.11921,1447754.5,1447754.5
BSUW23_RS07600,0.0481,0.3123,0.15412,1450886.5,1450886.5
BSUW23_RS07625,0.0257,0.3189,0.0807,1454233.5,1454233.5
BSUW23_RS07640,0.0083,0.2035,0.04082,1458236.5,1458236.5
BSUW23_RS07645,0.0051,0.1661,0.03073,1459515.5,1459515.5
BSUW23_RS07850,0.0259,0.5618,0.04617,1499553,1499553
BSUW23_RS07870,0.0226,0.3198,0.07066,1502565,1502565
BSUW23_RS07890,0.0368,0.2918,0.12598,1504848.5,1504848.5
BSUW23_RS07950,0.0663,0.2611,0.25386,1520126.5,1520126.5
BSUW23_RS07995,0.0176,0.4316,0.04079,1525772.5,1525772.5
BSUW23_RS08040,0.011,0.1526,0.07192,1533514,1533514
BSUW23_RS08075,0.0134,0.2679,0.05007,1540818.5,1540818.5
BSUW23_RS08095,0.09705,0.4309,0.267435,1543829.25,1543829.25
BSUW23_RS08140,0.0151,0.3075,0.04922,1551849.5,1551849.5
BSUW23_RS08260,0.0244,0.2866,0.08519,1579185.5,1579185.5
BSUW23_RS08330,0.016,0.3253,0.04925,1594842.5,1594842.5
BSUW23_RS08715,0,0.0214,0,1665453.5,1665453.5
BSUW23_RS08835,0.0042,0.0285,0.14773,1692290,1692290
BSUW23_RS08910,0.0105,0.2843,0.03698,1706208,1706208
BSUW23_RS09035,0.0023,0.2061,0.01138,1735256.5,1735256.5
BSUW23_RS09055,0,0.0204,0,1739075.5,1739075.5
BSUW23_RS09085,0.0095,0.187,0.05107,1744813.5,1744813.5
BSUW23_RS09115,0.0212,0.2898,0.07322,1762913.5,1762913.5
BSUW23_RS09410,0.0165,0.3904,0.04225,1863801.5,1863801.5
BSUW23_RS09415,0.04095,0.314,0.13201,1865040.5,1865040.5
BSUW23_RS09465,0.0054,0.402,0.01351,1871583.5,1871583.5
BSUW23_RS09505,0.01,0.2735,0.03653,1877216.5,1877216.5
BSUW23_RS09585,0.025,0.3192,0.07838,1889574.5,1889574.5
BSUW23_RS09600,0.0283,0.2231,0.12668,1892576.5,1892576.5
BSUW23_RS09625,0.039,0.3928,0.09922,1897134.5,1897134.5
BSUW23_RS09635,0.0392,0.3651,0.10733,1898533,1898533
BSUW23_RS09645,0.0288,0.5873,0.04903,1900297,1900297
BSUW23_RS09670,0.0375,0.39395,0.099685,1905528.25,1905528.25
BSUW23_RS09710,0.010725,0.29875,0.03438,1927732.75,1927732.75
BSUW23_RS10035,0.0183,0.2948,0.0621,2001655.5,2213950.5
BSUW23_RS14235,0.0293,0.4903,0.05968,2755602,1460004
BSUW23_RS14305,0.0365,0.437,0.08358,2768368.5,1447237.5
BSUW23_RS14310,0.0399,0.3931,0.10152,2770780,1444826
BSUW23_RS14370,0.0169,0.3037,0.05562,2784411,1431195
BSUW23_RS14400,0.0028,0.2588,0.01101,2791730.5,1423875.5
BSUW23_RS14430,0.0032,0.0875,0.03695,2797607,1417999
BSUW23_RS14490,0.0132,0.4432,0.0297,2809017,1406589
BSUW23_RS14505,0,0.2085,0,2811925,1403681
BSUW23_RS14570,0.0717,0.4696,0.15262,2826493.5,1389112.5
BSUW23_RS14640,0.0086,0.2239,0.0383,2840433.5,1375172.5
BSUW23_RS14650,0.021,0.3223,0.06518,2842338,1373268
BSUW23_RS14655,0.0435,0.3977,0.10942,2843467,1372139
BSUW23_RS14670,0.0223,0.0956,0.23322,2845312,1370294
BSUW23_RS14700,0,0.2244,0,2852378.5,1363227.5
BSUW23_RS14730,0.0122,0.2254,0.05428,2858179,1357427
BSUW23_RS14765,0.0355,0.3415,0.10395,2865958,1349648
BSUW23_RS14780,0.1974,0.2494,0.79141,2871849.5,1343756.5
BSUW23_RS14890,0.014,0.3483,0.04019,2896113,1319493
BSUW23_RS14900,0.2179,0.6989,0.3118,2897967.5,1317638.5
BSUW23_RS14975,0.0196,0.2859,0.06847,2910296.5,1305309.5
BSUW23_RS15085,0.0199,0.3177,0.06257,2928215,1287391
BSUW23_RS15160,0.0381,0.3479,0.10954,2944587,1271019
BSUW23_RS15195,0,0.0432,0,2952715,1262891
BSUW23_RS15200,0.1094,0.5195,0.2106,2953982,1261624
BSUW23_RS15340,0,0.1999,0,2965910,1249696
BSUW23_RS15345,0,0.0441,0,2966603,1249003
BSUW23_RS15350,0.0056,0.2952,0.01891,2967543,1248063
BSUW23_RS15360,0.0152,0.2722,0.05575,2969419,1246187
BSUW23_RS15370,0.0407,0.2257,0.1805,2971218.5,1244387.5
BSUW23_RS15440,0.0265,0.2275,0.11649,2984503.5,1231102.5
BSUW23_RS15560,0.0093,0.1811,0.05118,3011044.5,1204561.5
BSUW23_RS15665,0.0183,0.364,0.05019,3030579,1185027
BSUW23_RS15710,0.0129,0.3355,0.03845,3037237,1178369
BSUW23_RS15775,0.0216,0.1755,0.1228,3047804,1167802
BSUW23_RS15840,0.0212,0.323,0.06568,3066918.5,1148687.5
BSUW23_RS15940,0.0181,0.3634,0.04976,3088768.5,1126837.5
BSUW23_RS15990,0.0318,0.3558,0.08947,3098484,1117122
BSUW23_RS16090,0.0159,0.7237,0.022,3115632.5,1099973.5
BSUW23_RS16100,0.0065,0.491,0.01324,3118415,1097191
BSUW23_RS16160,0.02395,0.2638,0.099875,3131552.75,1084053.25
BSUW23_RS16165,0.0286,0.2853,0.1004,3132872,1082734
BSUW23_RS16200,0.0332,0.348,0.09535,3138605.5,1077000.5
BSUW23_RS16210,0.0162,0.3096,0.05243,3141326,1074280
BSUW23_RS16285,0.0325,0.2709,0.1199,3153012.5,1062593.5
BSUW23_RS16330,0.0414,0.376,0.11014,3158572.5,1057033.5
BSUW23_RS16660,0.0183,0.397,0.04607,3218688,996918
BSUW23_RS16665,0.0355,0.3089,0.11482,3219347,996259
BSUW23_RS16670,0.0212,0.3757,0.05647,3222781,992825
BSUW23_RS16680,0.0064,0.0741,0.08595,3225374,990232
BSUW23_RS16685,0.0439,0.3972,0.11056,3227990,987616
BSUW23_RS16720,0.0288,0.2007,0.14348,3236012.5,979593.5
BSUW23_RS16790,0.0211,0.1608,0.13134,3249214.5,966391.5
BSUW23_RS16795,0,0.1425,0,3249594.5,966011.5
BSUW23_RS16815,0.0250666666666667,0.339566666666667,0.0750666666666667,3251979.33333333,963626.666666667
BSUW23_RS16950,0.0156,0.3395,0.04583,3278893,936713
BSUW23_RS16960,0.0226,0.3686,0.0613,3281120,934486
BSUW23_RS17175,0.0523,0.4658,0.11235,3327936.5,887669.5
BSUW23_RS17185,0.0169,0.3769,0.04494,3329559.5,886046.5
BSUW23_RS17235,0.0914,0.3587,0.25481,3340444,875162
BSUW23_RS17395,0.0151,0.3996,0.03773,3369426.5,846179.5
BSUW23_RS17405,0.0269,0.3393,0.07919,3371209.5,844396.5
BSUW23_RS17420,0.0182666666666667,0.192766666666667,0.0995033333333333,3373742.16666667,841863.833333333
BSUW23_RS17425,0.03,0.229,0.13084,3374704.5,840901.5
BSUW23_RS17600,0.0286,0.2608,0.10955,3414628.5,800977.5
BSUW23_RS17690,0.01,0.3552,0.02812,3427164,788442
BSUW23_RS17790,0,0.1815,0,3451483,764123
BSUW23_RS17795,0.0071,0.2812,0.02523,3453032.5,762573.5
BSUW23_RS17840,0.0132,0.3136,0.04206,3467913,747693
BSUW23_RS17865,0.0308,0.5463,0.0563,3473062,742544
BSUW23_RS18030,0.0281,0.3005,0.09345,3507885.5,707720.5
BSUW23_RS18035,0.024,0.3034,0.07903,3509156.5,706449.5
BSUW23_RS18080,0.0096,0.2372,0.04056,3517184,698422
BSUW23_RS18100,0.0374,0.3348,0.11162,3520571,695035
BSUW23_RS18125,0.0449,0.408,0.11014,3525825.5,689780.5
BSUW23_RS18155,0.02095,0.19415,0.1344,3532772,682834
BSUW23_RS18185,0.0166,0.4545,0.03655,3541114,674492
BSUW23_RS18195,0.0069,0.2474,0.02784,3546520,669086
BSUW23_RS18295,0.0347,0.4006,0.08669,3564950,650656
BSUW23_RS18340,0.0137,0.3611,0.03799,3572646.5,642959.5
BSUW23_RS18400,0.0324,0.4052,0.08001,3583250.5,632355.5
BSUW23_RS18435,0.1005,0.2267,0.44349,3589670.5,625935.5
BSUW23_RS18455,0.022,0.2486,0.08838,3591547,624059
BSUW23_RS18655,0.0247,0.4035,0.06113,3626550.5,589055.5
BSUW23_RS18705,0.0143,0.2787,0.05118,3639006.5,576599.5
BSUW23_RS18765,0.031,0.4937,0.06287,3650471.5,565134.5
BSUW23_RS18810,0.8219,27.8359,0.02953,3659826.5,555779.5
BSUW23_RS18830,0.7262,23.3052,0.03116,3662411.5,553194.5
BSUW23_RS18930,0.7499,135.8728,0.00552,3682471,533135
BSUW23_RS18995,0.0418,0.3366,0.12431,3696877.5,518728.5
BSUW23_RS19025,0.0408,0.2912,0.13997,3701901,513705
BSUW23_RS19035,0.0423,0.4276,0.09898,3702835,512771
BSUW23_RS19070,0.0375,0.3168,0.11838,3708435.5,507170.5
BSUW23_RS19230,0.0541,0.3548,0.15248,3738770,476836
BSUW23_RS19235,0.0123,0.4017,0.03059,3739594,476012
BSUW23_RS19250,0.0339,0.1533,0.22113,3741387,474219
BSUW23_RS19270,0.01,0.5503,0.01811,3743511,472095
BSUW23_RS19340,0,0.2746,0,3758191,457415
BSUW23_RS19350,0,0.1596,0,3760210,455396
BSUW23_RS19385,0.0336,0.3548,0.09479,3765789.5,449816.5
BSUW23_RS19430,0.019,0.3293,0.05754,3774992,440614
BSUW23_RS19470,0.0106,0.1162,0.09159,3781268,434338
BSUW23_RS19480,0.0038,0.1496,0.02534,3784632,430974
BSUW23_RS19500,0.044,0.3089,0.14237,3790915,424691
BSUW23_RS19540,0.0397,0.28,0.14196,3798475.5,417130.5
BSUW23_RS19545,0.0484,0.339,0.14275,3799564,416042
BSUW23_RS19630,0.0254,0.3663,0.06924,3815443.5,400162.5
BSUW23_RS19735,0.0091,0.0496,0.18346,3835534,380072
BSUW23_RS19790,0.0991,0.3675,0.26978,3842011,373595
BSUW23_RS19795,0.1025,0.301,0.34039,3842649,372957
BSUW23_RS19860,0.006,0.2196,0.02729,3860185.5,355420.5
BSUW23_RS19870,0,0.0504,0,3861110,354496
BSUW23_RS19900,0.0318,0.3832,0.08287,3869033.5,346572.5
BSUW23_RS19920,0.0099,0.2459,0.04006,3873849,341757
BSUW23_RS19925,0.0346,0.3642,0.09494,3874951,340655
BSUW23_RS19940,0.0405,0.3331,0.1215,3878045,337561
BSUW23_RS20045,0.0444,0.3309,0.13424,3895963.5,319642.5
BSUW23_RS20075,0.0268,0.2733,0.09818,3901992,313614
BSUW23_RS20145,0.0185,0.2746,0.06753,3918899.5,296706.5
BSUW23_RS20160,0.0217,0.2821,0.07691,3921224,294382
BSUW23_RS20210,0.0301,0.3715,0.08099,3931784,283822
BSUW23_RS20215,0.0105,0.2853,0.03695,3932650.5,282955.5
BSUW23_RS20235,0.022,0.4281,0.05144,3938983,276623
BSUW23_RS20275,0.0021,0.269,0.00774,3950269.5,265336.5
BSUW23_RS20365,0.0988,0.4072,0.24262,3970157.5,245448.5
BSUW23_RS20385,0.0369,0.3479,0.10599,3975941,239665
BSUW23_RS20425,0.0107,0.3294,0.03246,3980429,235177
BSUW23_RS20460,0.0667,0.3108,0.21446,3985797.5,229808.5
BSUW23_RS20465,0.0402,0.3498,0.11483,3987066.5,228539.5
BSUW23_RS20550,0.0422,0.4037,0.10461,4000925.5,214680.5
BSUW23_RS20610,0.0146,0.3202,0.04549,4011044,204562
BSUW23_RS20625,0.1005,0.335,0.30015,4014135,201471
BSUW23_RS20630,0.0357,0.451,0.07913,4015326.5,200279.5
BSUW23_RS20645,0.0388,0.3507,0.11067,4018082,197524
BSUW23_RS20675,0.1258,0.9287,0.13542,4023941,191665
I33_RS01240,0.0665,0.3698,0.17972,223613,223613
I33_RS01245,0.035,0.4612,0.07595,224502,224502
I33_RS01260,0.0172,0.2528,0.07447,227724.25,227724.25
I33_RS01265,0.0435,0.4071,0.1068,228950.5,228950.5
I33_RS01270,0.0597,0.5534,0.10794,230151.5,230151.5
I33_RS01280,0.0693,0.5718,0.12112,233454.5,233454.5
I33_RS01285,0.0021,0.3274,0.00639,234661,234661
I33_RS01290,0.1188,0.3782,0.31421,235750.5,235750.5
I33_RS01295,0.0701,0.3266,0.21452,236420.5,236420.5
I33_RS01330,0.0369,0.387,0.0953,242396.5,242396.5
I33_RS01335,0.0198,0.3456,0.05726,243250.5,243250.5
I33_RS01340,0.0523,0.25325,0.219205,245530.75,245530.75
I33_RS01345,0.0343,0.3511,0.09783,246296,246296
I33_RS01355,0.028,0.2826,0.09906,248004.5,248004.5
I33_RS01360,0.02415,0.3672,0.06658,248831.25,248831.25
I33_RS01365,0.0721,0.27585,0.338815,250191.5,250191.5
I33_RS01380,0.0094,0.2362,0.03966,252998,252998
I33_RS01385,0.0179,0.336,0.05325,254140,254140
I33_RS01400,0.0397,0.2476,0.16054,257197.5,257197.5
I33_RS01405,0.0337,0.415366666666667,0.0717433333333333,258788.333333333,258788.333333333
I33_RS01410,0.0241,0.2965,0.08127,260829,260829
I33_RS01415,0.0472,0.3286,0.14355,262119,262119
I33_RS01425,0.0277,0.3361,0.08229,264682.5,264682.5
I33_RS01440,0.0286,0.3071,0.0932,267191,267191
I33_RS01450,0.0231,0.3155,0.07334,268353,268353
I33_RS01460,0.0197,0.3408,0.0578,269579,269579
I33_RS01465,0.0131,0.243,0.054,271079.5,271079.5
I33_RS01480,0.0102,0.2389,0.04281,273587.5,273587.5
I33_RS01485,0.0197,0.3569,0.05524,274795,274795
I33_RS01490,0.126,0.4714,0.26731,276298,276298
I33_RS01520,0.018,0.3001,0.05989,281962,281962
I33_RS01525,0.0386,0.3169,0.12166,282683,282683
I33_RS01530,0.0355,0.2549,0.1392,283368.5,283368.5
I33_RS01545,0.0237,0.365,0.06503,286407.5,286407.5
I33_RS01555,0.0173,0.3578,0.04842,289368,289368
I33_RS01560,0.027,0.3656,0.07384,290415,290415
I33_RS01570,0.038,0.2608,0.1458,292524,292524
I33_RS01575,0.0386,0.3148,0.122035,293554.75,293554.75
